Unidade,Indicador,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,Soja,,,,,,,,,,,,,,,,,,,
t,Quantidade produzida,162360,62166,177840,200000,168000,177223,198000,259500,83040,244800,228450,294450,339060,319260,326160,334800,197040,358650,123240
ha,Área plantada,82000,83000,78000,80000,80000,80000,82500,86500,86500,90000,93000,93500,96500,89500,93000,92000,92000,91500,92200
ha,Área colhida,82000,79700,78000,80000,80000,79830,82500,86500,86500,90000,93000,93500,96500,89500,93000,92000,92000,91500,92200
kg/ha,Rendimento médio,1980,780,2280,2500,2100,2220,2400,3000,960,2720,2456,3149,3514,3567,3507,3639,2142,3920,1337
,Trigo,,,,,,,,,,,,,,,,,,,
t,Quantidade produzida,32400,14400,5400,21780,29970,22050,23400,69375,47916,99000,39600,22500,46200,25200,24000,29700,48600,81000,128700
ha,Área plantada,9000,9000,9000,11000,13500,10500,9000,23125,28500,30000,30000,18000,14000,12000,10000,11000,18000,27000,33000
ha,Área colhida,9000,9000,6000,11000,13500,10500,9000,23125,24200,30000,30000,15000,14000,12000,10000,11000,18000,27000,33000
kg/ha,Rendimento médio,3600,1600,900,1980,2220,2100,2600,3000,1980,3300,1320,1500,3300,2100,2400,2700,2700,3000,3900
