Nível;Indicador;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;Unidade
1;Abacaxi;;;;;;;;;;;;;;;;;;;;
1.1;Quantidade produzida;;;;;;;;;;;;;;;;;;;;frutos
1.2;Valor da produção;;;;;;;;;;;;;;;;;;;;R$
1.3;Área plantada;;;;;;;;;;;;;;;;;;;;ha
1.4;Área colhida;;;;;;;;;;;;;;;;;;;;ha
1.5;Rendimento médio;;;;;;;;;;;;;;;;;;;;frutos/ha
2;Algodão;;;;;;;;;;;;;;;;;;;;
2.1;Herbáceo;;;;;;;;;;;;;;;;;;;;
2.1.1;Caroço;;;;;;;;;;;;;;;;;;;;
2.1.1.1;Quantidade produzida;;;;;;;;;;;;;;;;;;;;t
2.1.1.2;Valor da produção;;;;;;;;;;;;;;;;;;;;R$
2.1.1.3;Área plantada;;;;;;;;;;;;;;;;;;;;ha
2.1.1.4;Área colhida;;;;;;;;;;;;;;;;;;;;ha
2.1.1.5;Rendimento médio;;;;;;;;;;;;;;;;;;;;kg/ha
3;Alho;;;;;;;;;;;;;;;;;;;;
3.1;Quantidade produzida;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;t
3.2;Valor da produção;9;8;10;9;9;10;11;11;12;14;;;;;;;;;;R$
3.3;Área plantada;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;ha
3.4;Área colhida;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;ha
3.5;Rendimento médio;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;;;;;;;;;;kg/ha
4;Amendoim;;;;;;;;;;;;;;;;;;;;
4.1;Com casca;;;;;;;;;;;;;;;;;;;;
4.1.1;Quantidade produzida;3;2;3;3;3;3;3;3;3;;;;;;;;;;;t
4.1.2;Valor da produção;7;5;7;8;8;9;8;10;8;;;;;;;;;;;R$
4.1.3;Área plantada;3;3;3;3;3;3;3;3;3;;;;;;;;;;;ha
4.1.4;Área colhida;3;3;3;3;3;3;3;3;3;;;;;;;;;;;ha
4.1.5;Rendimento médio;1000;666;1000;1000;1000;1000;1000;1000;1000;;;;;;;;;;;kg/ha
5;Arroz;;;;;;;;;;;;;;;;;;;;
5.1;Com casca;;;;;;;;;;;;;;;;;;;;
5.1.1;Quantidade produzida;714;520;201;201;203;54;;;;;;;;;;;;;;t
5.1.2;Valor da produção;438;99;72;83;81;23;;;;;;;;;;;;;;R$
5.1.3;Área plantada;180;180;80;80;60;30;;;;;;;;;;;;;;ha
5.1.4;Área colhida;180;130;80;80;60;30;;;;;;;;;;;;;;ha
5.1.5;Rendimento médio;3966;4000;2512;2512;3383;1800;;;;;;;;;;;;;;kg/ha
6;Aveia;;;;;;;;;;;;;;;;;;;;
6.1;Grão;;;;;;;;;;;;;;;;;;;;
6.1.1;Quantidade produzida;1000;320;2700;3000;3000;3000;6000;3946;7040;9600;5200;6000;12625;9000;14400;12600;13200;22400;29000;t
6.1.2;Valor da produção;220;96;540;630;744;759;1200;1361;2464;3040;1560;2136;5681;2070;6480;5040;11880;17920;34800;R$
6.1.3;Área plantada;500;200;2000;2000;1500;1500;3000;1973;3515;4000;4000;4000;5050;6000;6000;6000;6000;8000;10000;ha
6.1.4;Área colhida;500;200;1800;2000;1500;1500;3000;1973;3200;4000;4000;4000;5050;6000;6000;6000;6000;8000;10000;ha
6.1.5;Rendimento médio;2000;1600;1500;1500;2000;2000;2000;2000;2200;2400;1300;1500;2500;1500;2400;2100;2200;2800;2900;kg/ha
7;Batata-doce;;;;;;;;;;;;;;;;;;;;
7.1;Quantidade produzida;78;78;78;78;60;80;80;80;40;40;40;40;40;40;40;40;40;40;40;t
7.2;Valor da produção;48;45;48;39;42;60;64;77;50;32;31;50;48;36;48;48;40;48;50;R$
7.3;Área plantada;6;6;6;6;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;ha
7.4;Área colhida;6;6;6;6;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;ha
7.5;Rendimento médio;13000;13000;13000;13000;20000;20000;20000;20000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;kg/ha
8;Batata-inglesa;;;;;;;;;;;;;;;;;;;;
8.1;Quantidade produzida;42;198;198;198;198;158;158;32;96;48;48;;;;;;;;;t
8.2;Valor da produção;32;199;155;141;136;130;160;24;72;86;53;;;;;;;;;R$
8.3;Área plantada;5;13;13;13;13;13;13;2;6;3;3;;;;;;;;;ha
8.4;Área colhida;5;13;13;13;13;13;13;2;6;3;3;;;;;;;;;ha
8.5;Rendimento médio;8400;15230;15230;15230;15230;12153;12153;16000;16000;16000;16000;;;;;;;;;kg/ha
9;Cana-de-açúcar;;;;;;;;;;;;;;;;;;;;
9.1;Quantidade produzida;150;100;125;125;175;175;175;175;175;175;175;175;175;175;175;125;175;175;175;t
9.2;Valor da produção;4;2;15;9;17;17;15;16;9;9;9;9;11;12;12;8;12;18;21;R$
9.3;Área plantada;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;ha
9.4;Área colhida;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;ha
9.5;Rendimento médio;30000;20000;25000;25000;35000;35000;35000;35000;35000;35000;35000;35000;35000;35000;35000;25000;35000;35000;35000;kg/ha
10;Cebola;;;;;;;;;;;;;;;;;;;;
10.1;Quantidade produzida;6;10;13;13;13;13;13;13;13;13;;;;;;;;;;t
10.2;Valor da produção;3;6;7;7;7;8;12;11;12;16;;;;;;;;;;R$
10.3;Área plantada;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;ha
10.4;Área colhida;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;ha
10.5;Rendimento médio;6000;10000;13000;13000;13000;13000;13000;13000;13000;13000;;;;;;;;;;kg/ha
11;Centeio;;;;;;;;;;;;;;;;;;;;
11.1;Grão;;;;;;;;;;;;;;;;;;;;
11.1.1;Quantidade produzida;;;;;78;78;104;104;;;;;;;75;49;35;113;150;t
11.1.2;Valor da produção;;;;;61;60;28;50;;;;;;;49;29;21;94;237;R$
11.1.3;Área plantada;;;;;130;130;130;130;;;;;;;50;70;50;150;150;ha
11.1.4;Área colhida;;;;;130;130;130;130;;;;;;;50;70;50;150;150;ha
11.1.5;Rendimento médio;;;;;600;600;800;800;;;;;;;1500;700;700;753;1000;kg/ha
12;Cevada;;;;;;;;;;;;;;;;;;;;
12.1;Grão;;;;;;;;;;;;;;;;;;;;
12.1.1;Quantidade produzida;500;263;;;252;252;252;1145;2482;2158;720;960;6800;2700;2400;4500;3150;1110;1221;t
12.1.2;Valor da produção;200;105;;;120;121;69;502;968;1036;264;336;4193;1215;880;2520;3780;1832;2247;R$
12.1.3;Área plantada;250;146;200;;120;120;120;545;1128;830;800;800;1700;1500;1000;1500;1500;370;370;ha
12.1.4;Área colhida;250;146;;;120;120;120;545;1128;830;800;800;1700;1500;1000;1500;1500;370;370;ha
12.1.5;Rendimento médio;2000;1801;;;2100;2100;2100;2100;2200;2600;900;1200;4000;1800;2400;3000;2100;3000;3300;kg/ha
13;Ervilha;;;;;;;;;;;;;;;;;;;;
13.1;Grão;;;;;;;;;;;;;;;;;;;;
13.1.1;Quantidade produzida;;;;;66;;;;;;;;;;;;;;;t
13.1.2;Valor da produção;;;;;168;;;;;;;;;;;;;;;R$
13.1.3;Área plantada;;;;;55;;;;;;;;;;;;;;;ha
13.1.4;Área colhida;;;;;55;;;;;;;;;;;;;;;ha
13.1.5;Rendimento médio;;;;;1200;;;;;;;;;;;;;;;kg/ha
14;Fava;;;;;;;;;;;;;;;;;;;;
