ANO_MES,PRECIPITACAO_TOTAL,TEMPERATURA_MEDIA,UMIDADE_MEDIA
2007-10,219.2,19.9814266487214,78.1870794078062
2007-11,101.8,20.03565768621236,62.366085578446906
2007-12,66.4,23.73709677419355,63.16263440860215
2009-01,144.2,21.815456989247313,75.22446236559139
2009-02,59.2,22.93407738095238,78.64285714285714
2009-03,14.0,22.09973082099596,76.65814266487214
2009-10,131.4,18.479027777777777,75.1
2009-11,381.6,23.122638888888886,78.025
2009-12,148.0,23.525134408602153,73.84005376344086
2011-01,69.2,24.035483870967745,77.96505376344086
2011-02,322.0,22.738690476190477,84.86458333333333
2011-03,215.4,21.146457765667577,77.96185286103542
2011-10,196.0,18.796635262449527,72.28532974427995
2011-11,83.0,21.524166666666662,61.87638888888889
2011-12,24.4,22.313978494623655,59.971774193548384
2013-01,95.0,22.03454301075269,71.95161290322581
2013-02,127.0,21.969494047619047,78.85119047619048
2013-03,203.6,19.172727272727272,79.71349862258953
2013-10,129.2,18.285464333781967,70.86944818304173
2013-11,140.2,21.88458333333333,64.325
2013-12,144.20000000000002,24.212096774193547,65.96236559139786
2015-01,177.0,22.634139784946235,80.47849462365592
2015-02,154.6,22.288988095238096,80.84821428571429
2015-03,105.4,21.761021505376345,76.58064516129032
2015-10,194.4,18.517473118279568,77.84677419354838
2015-11,163.6,20.004583333333333,74.75833333333334
2015-12,512.4,21.933870967741935,80.03629032258064
2017-01,229.8,22.57755376344086,80.81989247311827
2017-02,158.0,22.70654761904762,82.35267857142857
2017-03,157.4,21.39475806451613,76.99596774193549
2017-10,174.6,18.456989247311828,73.53091397849462
2017-11,196.0,19.94888888888889,60.84861111111111
2017-12,102.8,23.053763440860216,68.5510752688172
2019-01,266.2,23.731048387096777,79.75403225806451
2019-02,113.0,21.52782738095238,77.37053571428571
2019-03,111.8,20.351413189771197,74.69179004037684
2019-10,128.0,20.838839285714283,60.75
2019-12,36.6,23.79422043010753,58.401881720430104
2021-01,193.6,22.551131221719455,80.64856711915536
2021-02,65.2,21.27261904761905,78.69642857142857
2021-03,104.0,21.06760752688172,79.79704301075269
2021-10,238.4,18.469354838709677,73.07661290322581
2021-11,22.6,22.050906555090656,62.58577405857741
2021-12,57.0,23.766576819407007,61.08355795148248
